rank,symbol,composite_score,verdict,daily_raw,weekly_raw,monthly_raw,weighted_raw
1,000725,71.88995215311004,推荐,37.0,52.0,57.0,48.25
2,600999,67.4401913875598,中性,47.0,60.0,5.0,38.95
3,688981,67.36842105263159,中性,47.0,15.0,57.0,38.8
4,300628,65.311004784689,中性,37.0,47.0,17.0,34.5
5,688082,64.688995215311,中性,25.0,57.0,15.0,33.2
6,688396,64.49760765550239,中性,15.0,47.0,37.0,32.8
7,600011,64.35406698564593,中性,15.0,35.0,50.0,32.5
8,603893,63.89952153110049,中性,37.0,30.0,27.0,31.549999999999997
9,002028,63.851674641148314,中性,15.0,62.0,15.0,31.45
10,002049,62.822966507177036,中性,37.0,15.0,37.0,29.299999999999997
11,002179,62.775119617224874,中性,15.0,47.0,25.0,29.2
12,601857,62.53588516746411,中性,55.0,27.0,0.0,28.7
13,300866,62.009569377990424,中性,15.0,15.0,57.0,27.599999999999998
14,600026,61.8421052631579,中性,60.0,5.0,15.0,27.25
15,000333,61.62679425837321,中性,15.0,47.0,17.0,26.799999999999997
16,601939,61.387559808612444,中性,37.0,15.0,27.0,26.299999999999997
17,002371,61.33971291866028,中性,15.0,47.0,15.0,26.2
18,688126,61.17224880382774,中性,0.0,25.0,57.0,25.849999999999998
19,000938,61.14832535885167,中性,27.0,15.0,37.0,25.799999999999997
20,601689,61.05263157894737,中性,15.0,35.0,27.0,25.6
21,300661,60.8133971291866,中性,15.0,25.0,37.0,25.1
22,000977,60.33492822966507,中性,5.0,15.0,57.0,24.099999999999998
23,002709,60.02392344497608,中性,52.0,15.0,0.0,23.45
24,300274,59.90430622009569,中性,47.0,15.0,5.0,23.2
25,300316,59.66507177033493,中性,5.0,47.0,15.0,22.7
26,688012,59.66507177033493,中性,25.0,27.0,15.0,22.7
27,601838,59.473684210526315,中性,17.0,15.0,37.0,22.299999999999997
28,605117,59.42583732057416,中性,37.0,5.0,25.0,22.2
29,603986,59.33014354066985,中性,25.0,25.0,15.0,22.0
30,600522,59.09090909090909,中性,15.0,25.0,25.0,21.5
31,600023,58.01435406698564,中性,0.0,25.0,35.0,19.25
32,688041,57.99043062200957,中性,17.0,25.0,15.0,19.2
33,688187,57.99043062200957,中性,5.0,37.0,15.0,19.2
34,300124,57.70334928229664,中性,15.0,15.0,27.0,18.6
35,601006,57.70334928229664,中性,47.0,25.0,-22.0,18.6
36,600803,57.655502392344495,中性,35.0,5.0,15.0,18.5
37,688008,57.655502392344495,中性,15.0,25.0,15.0,18.5
38,600406,57.559808612440186,中性,-25.0,37.0,47.0,18.299999999999997
39,603019,57.464114832535884,中性,5.0,15.0,37.0,18.1
40,601995,57.39234449760766,中性,27.0,20.0,5.0,17.95
41,600938,57.17703349282297,中性,55.0,-5.0,0.0,17.5
42,002600,57.15311004784689,中性,0.0,37.0,15.0,17.45
43,600377,56.67464114832536,中性,27.0,20.0,0.0,16.45
44,601298,56.6267942583732,中性,0.0,15.0,37.0,16.35
45,300502,55.980861244019145,中性,15.0,15.0,15.0,15.0
46,601868,55.980861244019145,中性,15.0,15.0,15.0,15.0
